data_coleta,rodovia,impacto,aviso
2025-06-28,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 09 ao 10, próximo ao GM Car em São Sebastião do Caí, estreitamento de pista para pintura;"
2025-06-28,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 15 ao 20, da entrada principal de São Sebastião do Caí ao Finkler em Bom Princípio, estreitamento de pista para pintura de sinalização e fresagem e recomposição;"
2025-06-28,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 36 ao 38, próximo ao Posto Gambino em Bom Princípio, estreitamento de pista para manutenção do sistema de drenagem;"
2025-06-28,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 40 ao 70, do pequeno refúgio em São Vendelino ao posto Squizzato em Caxias do Sul, pare e siga e estreitamento de pista para pintura, reparo localizado, instalação de meios fios e implantação de defensa metálica;"
2025-06-28,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 127, próximo a Mecânica Ouro Diesel em Antônio Prado, estreitamento de pista para conformação de terreno e concretagem;"
2025-06-28,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 149 ao 160, do Sair Kana em Ipê a Tenda do Beleza em Campestre da Serra, pare e siga para reconstrução de canaleta e manutenção do sistema de drenagem;"
2025-06-28,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 03, do posto da PRE ao em Portão à Floricultura das Plantas, manutenção da faixa de domínio;"
2025-06-28,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 12 ao 24, do acesso ao Vale do Caí ao Reinehr Móveis em Bom Princípio , manutenção da faixa de domínio e sistema de drenagem;"
2025-06-28,ERS-122,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 39 ao 168, do refúgio em São Vendelino ao trevo de acesso a Campestre da Serra, para serviços gerais da conserva, manutenção de sinalização, do sistema de drenagem e faixa de domínio;"
2025-06-29,ERS-446,OBRAS COM IMPACTO NO TRAFEGO,"*Km 13 ao 15, próximo a Ponte em Carlos Barbosa, estreitamento de pista para pintura de sinalização;"
2025-06-29,BRS-470,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 225 ao 227, da Concresul ao Speranza Caminhões em Garibaldi, estreitamento de pista para pintura de sinalização;"
2025-06-29,RSC-287,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 21, do trevo de Montenegro ao trevo de Triunfo, manutenção de sinalização e pavimento;"
2025-06-29,RSC-453,OBRAS COM IMPACTO NO TRAFEGO,"*Km 109 ao 121, da Banca de Frutas ao trevo de entroncamento com a ERS-122 em Farroupilha, pare e siga e estreitamento de pista para construção de base para equipamentos, reparos localizados e manutenção de meios fios;"
2025-06-29,ERS-240,OBRAS SEM IMPACTO NO TRAFEGO,"*Km 00 ao 33, do viaduto da Scharlau ao trevo de Montenegro, instalação de meios fios e manutenção da faixa de domínio e pavimento;"
2025-06-29,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 04 ao 05, próximo a HM Mecânica em São Sebastião do Cai, estreitamento de pista para conformação de terreno;"
2025-06-29,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 18 ao 20, da Dezmaq ao Finkler em Bom Princípio, estreitamento de pista para fresagem e recomposição;"
2025-06-29,ERS-122,OBRAS COM IMPACTO NO TRAFEGO,"*Km 66 ao 68, próximo a Mecasul em Caxias do Sul, estreitamento de pista para construção de base para equipamento e manutenção da faixa de domínio;"
